,smlmitzrach,protein,total_fat,carbohydrates,lable
158,13110139,4.400000095,12.30000019,28.39999962,-1
159,13110189,0.5,9.399999619,24.39999962,-1
160,13110319,3.299999952,14.80000019,26.79999924,-1
161,13110329,2.599999905,6.599999905,33.70000076,-1
162,13110349,3.799999952,20.79999924,35.70000076,-1
163,13110519,2.599999905,2.5,15.39999962,-1
164,13110529,1.200000048,1.200000048,24.60000038,-1
165,13110609,1.799999952,10.57929611,24.29999924,-1
166,13120109,4.6,22.3,32.5,-1
167,13120129,4.0,23.20000076,25.29999924,-1
168,13120149,4.400000095,21.5,37.79999924,-1
169,13120179,4.5,22.89999962,26.39999962,-1
170,13120209,4.800000191,25.20000076,43.09999847,-1
171,13120219,4.199999809,15.60000038,24.5,-1
172,13120229,4.0,22.39999962,30.0,-1
173,13120249,4.099999905,22.70000076,32.0,-1
174,13120269,3.900000095,0.600000024,6.300000191,-1
175,13120319,5.199999809,17.10000038,48.79999924,-1
176,13120369,3.924999952,20.35000038,36.0,-1
177,13120389,2.533333302,7.0,18.16666603,-1
178,13120399,5.0,25.39999962,33.0,-1
179,13120419,1.799999952,4.199999809,24.5,-1
180,13120469,2.099999905,5.754607677,22.10000038,-1
181,13120719,4.199999809,17.10390091,38.70000076,-1
182,13120809,5.0,5.0,24.0,-1
183,13120819,4.0,6.0,25.0,-1
184,13121009,4.0,6.0,28.0,-1
185,13161639,0.031608041,0.018592965,6.699999809,-1
186,13161659,4.599999905,0.633333325,9.066666603,-1
187,13210229,2.5,1.5,19.0,-1
188,13210239,2.799999952,3.0,19.60000038,-1
189,13210279,2.799999952,1.5,16.10000038,-1
190,13210299,3.0,3.0,19.0,-1
191,13210339,3.099999905,2.5,16.5,-1
192,13210359,2.299999952,3.0,17.5,-1
193,13210379,2.900000095,7.0,20.0,-1
194,13210410,3.23,2.15,18.09,-1
195,13210619,1.299999952,7.0,27.0,-1
196,13210638,0.012134871,0.254832268,11.12767601,-1
197,13210639,0.100000001,2.099999905,91.69999695,-1
198,13211429,2.700000048,0.0,8.699999809,-1
199,13250008,1.918381453,21.36379433,44.20648575,-1
200,13250208,6.446192741,11.94988155,33.29743195,-1
201,13250218,3.865847588,28.98378372,28.39480209,-1
202,13252200,6.840000153,7.349999905,55.34999847,-1
203,13411008,3.713986874,15.46562099,8.016208649,-1
204,13411018,1.922815323,3.775642395,10.1255827,-1
205,13411038,2.77901721,8.931530952,7.384537697,-1
206,13411048,2.648039818,11.24019909,8.570846558,-1
207,13411078,3.892536163,2.428043604,9.894130707,-1
208,13411088,3.553764105,16.48841667,12.21135902,-1
209,14010109,26.5,32.0,0.5,-1
210,14010129,24.0,32.0,0.5,-1
211,14010139,33.0,29.0,0.0,-1
212,14101019,26.0,20.0,0.200000003,-1
213,14101129,15.5,3.0,5.300000191,-1
214,14101139,22.0,4.0,2.599999905,-1
215,14103019,18.0,25.0,0.100000001,-1
216,14103029,19.0,25.0,1.299999952,-1
217,14103039,24.0,22.0,0.0,-1
218,14103059,19.0,18.0,0.200000003,-1
219,14104019,27.0,32.0,0.200000003,-1
220,14104219,24.0,28.0,0.200000003,-1
221,14104229,22.0,10.0,2.400000095,-1
222,14104249,25.0,22.0,0.200000003,-1
223,14104259,17.5,5.0,7.0,-1
224,14104269,13.0,5.0,5.0,-1
225,14104279,9.0,9.0,5.800000191,-1
226,14104289,10.0,5.0,2.0,-1
227,14104299,12.5,16.0,6.0,-1
228,14104309,11.0,24.0,3.700000048,-1
229,14104349,18.5,16.0,2.9,-1
230,14104359,13.69999981,5.0,6.300000191,-1
231,14104369,17.0,16.0,0.200000003,-1
232,14104379,16.39999962,24.0,1.0,-1
233,14104399,20.39999962,5.0,1.0,-1
234,14104409,13.0,24.0,3.0,-1
235,14104419,18.0,16.0,2.0,-1
236,14104439,17.20000076,5.0,4.099999905,-1
237,14104459,16.0,20.0,0.5,-1
238,14104479,20.0,16.0,3.400000095,-1
239,14104519,25.0,34.0,0.200000003,-1
240,14104719,22.10000038,9.0,12.60000038,-1
241,14104749,18.0,20.0,5.0,-1
242,14104759,13.5,5.0,4.5,-1
243,14104769,14.0,18.0,1.5,-1
244,14104789,16.0,22.0,5.0,-1
245,14104809,9.199999809,5.0,6.800000191,-1
246,14105009,25.0,22.0,1.200000048,-1
247,14105019,28.0,25.0,0.300000012,-1
248,14105029,30.0,9.0,0.200000003,-1
249,14105039,25.0,26.0,0.100000001,-1
250,14105059,21.0,9.0,9.5,-1
251,14105069,16.0,5.0,8.0,-1
252,14106019,15.0,20.0,2.799999952,-1
253,14106029,13.0,22.0,2.0,-1
254,14106049,18.60000038,15.10000038,1.600000024,-1
255,14106069,10.0,16.0,4.5,-1
256,14106079,15.0,20.0,1.200000048,-1
257,14106309,14.0,5.0,5.0,-1
258,14106319,24.0,28.0,0.0,-1
259,14106339,18.0,24.0,1.0,-1
260,14106509,18.0,23.0,4.0,-1
261,14108409,24.5,28.0,0.600000024,-1
262,14201009,11.69999981,1.0,2.0,-1
263,14201019,11.0,5.0,1.5,-1
264,14201029,10.5,9.0,1.200000048,-1
265,14201069,11.0,3.0,2.5,-1
266,14201079,11.0,3.0,1.5,-1
267,14201089,10.39999962,5.0,1.700000048,-1
268,14201119,11.10000038,5.0,2.700000048,-1
269,14201259,10.30000019,3.0,2.900000095,-1
270,14201309,10.30000019,5.0,2.200000048,-1
271,14201489,15.5,5.0,4.0,-1
272,14201499,7.599999905,5.0,7.0,-1
273,14201509,8.0,9.0,4.0,-1
274,14202139,2.799999952,5.0,15.69999981,-1
275,14202169,14.0,5.0,5.0,-1
276,14202199,18.0,5.0,3.5,-1
277,14210009,10.10000038,0.5,4.300000191,-1
278,14210029,9.899999619,0.5,4.800000191,-1
279,14210059,9.100000381,3.0,3.5,-1
280,14210109,9.0,5.0,4.300000191,-1
281,14210119,15.0,3.0,4.5,-1
282,14210129,7.791468143,5.0,4.0,-1
283,14210139,8.100000381,5.0,4.900000095,-1
284,14210179,11.10000038,5.0,7.599999905,-1
285,14210189,9.0,3.0,4.099999905,-1
286,14210209,8.5,9.0,3.0,-1
287,14210219,9.699999809,9.0,5.400000095,-1
288,14210239,9.0,5.0,4.0,-1
289,14210259,7.400000095,9.0,4.900000095,-1
290,14211248,6.567163944,7.462686539,8.75621891,-1
291,14301010,5.929999828,34.24000168,4.070000172,-1
292,14301029,3.5,40.0,3.0,-1
293,14301049,5.699999809,26.39999962,35.0,-1
294,14301119,6.5,30.0,2.5,-1
295,14301129,6.0,30.0,3.0,-1
296,14301159,10.10000038,3.0,4.599999905,-1
297,14410329,13.0,25.0,1.200000048,-1
298,14410400,24.73,25.01,2.1,-1
299,14410439,14.3,7.0,10.4,-1
300,14410459,16.0,7.5,7.199999809,-1
301,14410469,16.0,16.0,4.2,-1
302,14502099,21.0,9.0,8.0,-1
303,14660208,13.11231995,24.35688972,13.49245071,-1
304,14660209,18.70000076,16.0,5.0,-1
305,14660218,23.04693413,25.07624435,10.73640442,-1
306,14660219,23.0,22.0,1.5,-1
307,14660228,23.08729744,25.12016106,10.75520706,-1
308,14660238,23.04693413,25.07624435,10.73640442,-1
309,14660248,12.41687202,26.86254501,13.85307598,-1
310,14700008,13.35066319,11.03562832,8.107493401,-1
311,14700108,10.05483437,17.91044617,20.23787689,-1
312,14700118,12.65000057,11.61577415,25.96677399,-1
313,14700128,10.41063881,1.765957475,17.80957603,-1
