code,smlmitzrach,shmmitzrach,ofen_hachana,ofen_hachanat_makor,makor,protein,total_fat,carbohydrates,food_energy,alcohol,moisture,total_dietary_fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,vitamin_a_iu,carotene,vitamin_e,vitamin_c,thiamin,riboflavin,niacin,vitamin_b6,folate,folate_dfe,vitamin_b12,cholesterol,saturated_fat,butyric,caproic,caprylic,capric,lauric,myristic,palmitic,stearic,oleic,linoleic,linolenic,arachidonic,docosahexanoic,palmitoleic,parinaric,gadoleic,eicosapentaenoic,erucic,docosapentaenoic,mono_saturated,poly_ saturated,vitamin_d,total_sugars,trans_fatty_acids,vitamin_a_re,mishtamesh_id,isoleucine,leucine,valine,lysine,threonine,methionine,phenylalanine,tryptophan,histidine,tyrosine,arginine,cystine,serine,kvutza_meyuhedet,shem_mitzrach_mekutzar,vitamin_k,pantothenic_acid,iodine,selenium,sugar_alcohols,choline,biotin,manganese,fructose
4780,91760019,"סוכריות טופי פירות, ללא סוכר, עלית",,,2,3,6.5,83,269,0,5.28000021,1.220000029,16.64528275,0.17685613,2.080660343,16.64528275,34.33089447,33.88000107,0.052016508,0.017685613,,0,0.617901206,41.30110931,0.00104033,0.06658113,0.019766273,0.004161321,1.040330172,1.040330172,0.052016508,0,1.74777782,0.000802469,0.004814815,0.060185187,0.048148148,0.357901245,0.143641979,0.593024671,0.284074068,2.520555496,1.864938259,0.134012341,0,0,0.024074074,0,0.000802469,0,0,0,2.539814711,2.003765345,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,
4781,91760029,"סוכריות טופי פירות, עלית, כרמית",,,3,0.699999988,11,78,414,0,8.079999924,1.220000029,15.26792431,0.1622217,1.908490539,15.26792431,31.49009514,,0.047712263,0.01622217,,0,1.045678973,37.88353729,0.000954245,0.061071698,0.01813066,0.003816981,0.954245269,0.954245269,0.047712263,0,6.5,0.001358025,0.008148148,0.101851851,0.081481479,0.605679035,0.243086413,1.003580213,0.480740726,4.265555382,3.15604949,0.22679013,0,0,0.04074074,0,0.001358025,0,0,0,4.298148155,3.390987635,,66.5,,0,1,,,,,,,,,,,,,,,,,,,,,,,,
4782,91760049,"סוכריות טופי חלב בציפוי שוקולד, STORCK",,,3,6,29,59,514,0,1,3,148,0.619000018,25.10300064,117.9840012,216.7220001,100,0.795000017,0.122000001,,2.068000078,0.992999971,0.250999987,0.090000004,0.225999996,0.179000005,0.043000001,5.020999908,5.821619511,0.351000011,9,13,0.273000002,0.074000001,0.082999997,0.178000003,0.167999998,0.953999996,7.539999962,4.831999779,5.616000175,5.962999821,0.108000003,0.01,0,0.372000009,0,0,0,0,0,6.381000042,6.09800005,0,59,,29.81455064,1,,,,,,,,,,,,,,,,5.999,,,2.176,,15.396,,,
4783,91760500,"חטיף מתוק, שוקולד עם שמנת TRUFFLES",,,1,6.079999924,32.68000031,41.20999908,491,0,16.06999969,2.5,154,1.710000038,47,167,289,81,1.720000029,0.356999993,,22,0.689999998,0.200000003,0.086999997,0.244000003,0.289999992,0.033,10,9,0.589999974,56,20.39900017,0.635999978,0.296999991,0.211999997,0.469999999,0.505999982,1.968000054,8.98900032,7.035999775,7.209000111,1.154999971,0.231999993,0,0,0.526000023,0,0.002,0,0,0,8.38599968,1.412999988,0.2,37.99,,162,1,,,,,,,,,,,,,,,,5.1,,,3.4,,38.1,,,
4784,91770000,"סוכריות דיאטטיות או דלות קלוריות, לפנ",,,1,0,0,98.59999847,394,0,1.399999976,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,,0,1,,,,,,,,,,,,,,,,0,,,0.6,,0,,,
4785,91770010,סוכריות גומי דיאטטיות או דלות קלוריות,,,1,0,0.200000003,70,162,0,11.69999981,18,0,0,0,0,0,7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.034000002,0,0,0,0,0,0,0.018999999,0.004,0.090000004,0.064000003,0,0,0,0,0,0.003,0,0,0,0.092,0.064000003,0,70,,0,1,,,,,,,,,,,,,,,,0,,,0.5,,0,,,
4786,91770020,סוכריות קשות דיאטטיות או דלות קלוריות,,,1,0,0,98.59999847,394,0,1.399999976,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,,,,,,,,,,,,,,,0,,,0.6,,0,,,
4787,91770029,"סוכריות חמוצות, ללא סוכר, MUST, עלית",,,2,0,0,95,229.8999939,0,4,0,0,0,0,0,0,10,0,0,,,,,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,95,,,,
4788,91770049,"סוכריות ללא סוכר, בטעמי פירות, MUST ",,,3,0,0.5,95.59999847,236,,1.899999976,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.085000001,0,0,0,0,0,0,0.048,0.01,0.224999994,0.159999996,0,0,0,0,0,0.008,0,0,0,0.230000004,0.159999996,0,95.6,,,1,,,,,,,,,,,,,,,,0,,,0.683,,0,,,
4789,91770050,סוכריות מנטה דיאטטיות או דלות קלוריות,,,1,0,0,98.59999847,394,0,1.399999976,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,,0,1,,,,,,,,,,,,,,,,0,,,0.6,,0,,,
